client_id,product_category,sfisf
c00029531,Women Accessory,0.08169589170685888
c00029531,Women Small Leather Goods,0.25845277399009076
c00055636,Men Bags,0.425302588113057
c00055636,Women Accessory,0.05755101010264638
c00068475,Men Ready-to-Wear,0.3361453661856409
c00089184,Women Ready-to-Wear,0.14440278887698624
c00091299,Men Accessory,0.6694991452983863
c00107911,Woman Shoes,0.07972364418497105
c00107911,Women Accessory,0.012960133632475735
c00107911,Women Ready-to-Wear,0.0998236033871079
c00108395,Women Bags,0.0410383810933051
c00108395,Women Ready-to-Wear,0.10405495080841655
c00115682,Women Accessory,0.2690045601249503
c00116652,Women Accessory,0.2690045601249503
c00120284,Woman Shoes,0.049348515949856286
c00120284,Women Bags,0.1118661032542914
c00120284,Women Small Leather Goods,0.028611893261126897
c00120293,Women Bags,0.1468742060181445
c00135296,Jewelry,0.3396645191759364
c00137987,Women Small Leather Goods,0.37117862919772066
c00154867,Women Accessory,0.08747240346893251
c00154867,Women Ready-to-Wear,0.09744723167446258
c00155793,Women Accessory,0.03302478830987141
c00155793,Women Ready-to-Wear,0.12667494243526636
c00156195,Men Ready-to-Wear,0.22707418196086726
c00156195,Women Accessory,0.087285587981269
c00157768,Women Small Leather Goods,0.37117862919772066
c00172159,Child,0.03825060087980683
c00172159,Men Ready-to-Wear,0.19968640970135812
c00172159,Men Shoes,0.15420737079198435
c00177390,Women Small Leather Goods,0.37117862919772066
c00179477,Men Shoes,0.11222604548959254
c00179477,Women Bags,0.11098858464465446
c00180939,Men Ready-to-Wear,0.3361453661856409
c00183214,Woman Shoes,0.040687600100051534
c00183214,Women Accessory,0.034616226955032275
c00183214,Women Bags,0.09507937945904027
c00183214,Women Small Leather Goods,0.033776588214855484
c00183529,Women Accessory,0.2690045601249503
c00191049,Women Accessory,0.2690045601249503
c00193391,Women Small Leather Goods,0.37117862919772066
c00211463,Women Bags,0.1468742060181445
c00214291,Woman Shoes,0.3059985258582579
c00217825,Men Shoes,0.4593235589900283
c00225661,Women Bags,0.14126726882144588
c00225661,Women Small Leather Goods,0.01416978051551954
c00291796,Women Accessory,0.1858838953668602
c00291796,Women Small Leather Goods,0.11469178956884743
c00294554,Men Small Leather Goods,0.010017984941944676
c00294554,Women Accessory,0.026543938217666072
c00294554,Women Bags,0.13019091574981734
c00295548,Women Bags,0.1468742060181445
c00295904,Men Shoes,0.4593235589900283
c00298646,Women Bags,0.1468742060181445
c00299242,Woman Shoes,0.01586130268069651
c00299242,Women Accessory,0.023090657126018786
c00299242,Women Bags,0.09810003013856221
c00299242,Women Ready-to-Wear,0.028073245014555638
c00300712,Jewelry,0.2995986549700105
c00300712,Women Accessory,0.03173101565889037
c00313535,Women Bags,0.1468742060181445
c00315408,Women Accessory,0.1192366838590654
c00315408,Women Small Leather Goods,0.2066531325134549
c00323505,Women Ready-to-Wear,0.14440278887698624
c00333959,Women Accessory,0.2690045601249503
c00334249,Women Bags,0.1468742060181445
c00334817,Women Accessory,0.2690045601249503
c00336613,Men Ready-to-Wear,0.3361453661856409
c00337040,Woman Shoes,0.0487756512183114
c00337040,Women Accessory,0.06196054972405378
c00337040,Women Bags,0.08963277008282367
c00356265,Women Accessory,0.04589219146495198
c00356265,Women Bags,0.12181745909639477
c00357506,Men Bags,0.08755079470940783
c00357506,Men Shoes,0.023427471074643727
c00357506,Men Small Leather Goods,0.03274384101744502
c00357506,Woman Shoes,0.06965707810479864
c00357506,Women Accessory,0.0072042145042114265
c00357506,Women Bags,0.0587750950811344
c00357506,Women Ready-to-Wear,0.012106891461927446
c00382956,Women Small Leather Goods,0.37117862919772066
c00390903,Women Bags,0.1468742060181445
c00393920,Women Accessory,0.037805183379666374
c00393920,Women Bags,0.1262328968534236
c00401687,Women Accessory,0.2690045601249503
c00410670,Men Ready-to-Wear,0.20755072498373883
c00410670,Men Shoes,0.04593774765342225
c00410670,Men Small Leather Goods,0.11610323135804822
c00410670,Women Accessory,0.029508717154216012
c00412009,Women Accessory,0.2690045601249503
c00422479,Men Accessory,0.6694991452983863
c00423786,Women Bags,0.1468742060181445
c00424072,Woman Shoes,0.3059985258582579
c00438848,Woman Shoes,0.07727684107305786
c00438848,Women Ready-to-Wear,0.10793532114898101
c00444499,Women Accessory,0.2690045601249503
c00445484,Women Bags,0.1468742060181445
c00449475,Women Accessory,0.2690045601249503
c00452979,Child,0.5446855476316248
c00465784,Men Accessory,0.05581060450301144
c00465784,Men Bags,0.24524211587135927
c00465784,Women Small Leather Goods,0.17199418593148214
c00467401,Woman Shoes,0.3059985258582579
c00473035,Women Accessory,0.2690045601249503
c00503813,Women Bags,0.1468742060181445
c00509838,Woman Shoes,0.03582842905481984
c00509838,Women Accessory,0.022692960952878885
c00509838,Women Bags,0.11293075082375546
c00509838,Women Small Leather Goods,0.011009036401173814
c00516761,Woman Shoes,0.3059985258582579
c00518945,Women Accessory,0.2690045601249503
c00523572,Women Accessory,0.2690045601249503
c00532485,Women Accessory,0.007998847977364153
c00532485,Women Ready-to-Wear,0.14010897335505637
c00535214,Women Accessory,0.020632655879495
c00535214,Women Bags,0.13560895107622517
c00553254,Woman Shoes,0.11847340956615625
c00553254,Women Accessory,0.045548748381838366
c00553254,Women Ready-to-Wear,0.06404361850803046
c00560010,Women Bags,0.1468742060181445
c00571575,Women Bags,0.1468742060181445
c00578452,Men Ready-to-Wear,0.03412011788434453
c00578452,Women Ready-to-Wear,0.12974532018949628
c00587377,Men Small Leather Goods,0.6717035164273091
c00587582,Men Shoes,0.4593235589900283
c00596864,Women Accessory,0.2690045601249503
c00598175,Women Accessory,0.2690045601249503
c00599772,Women Accessory,0.2690045601249503
c00606043,Women Accessory,0.08373836354083213
c00606043,Women Bags,0.10115377045152929
c00616301,House,0.0012307269519923453
c00616301,Men Ready-to-Wear,0.011121041844124688
c00616301,Woman Shoes,0.012436916317575953
c00616301,Women Accessory,0.0068589493607331435
c00616301,Women Bags,0.009220526638271408
c00616301,Women Ready-to-Wear,0.12070695956617643
c00636383,Women Accessory,0.2690045601249503
c00638804,Women Ready-to-Wear,0.14440278887698624
c00648131,Women Bags,0.07099198979472017
c00648131,Women Ready-to-Wear,0.07460536431751189
c00648948,Women Bags,0.0809657639766721
c00648948,Women Ready-to-Wear,0.06479941644859051
c00649722,Child,0.03214536639946492
c00649722,Woman Shoes,0.00460763379624873
c00649722,Women Accessory,0.03823443873925199
c00649722,Women Bags,0.0722990690851837
c00649722,Women Ready-to-Wear,0.02403584552587769
c00649722,Women Small Leather Goods,0.046431189134042566
c00663131,Women Ready-to-Wear,0.14440278887698624
c00663960,Woman Shoes,0.07935739090418689
c00663960,Women Accessory,0.12110649196787125
c00663960,Women Bags,0.019549443120721773
c00663960,Women Ready-to-Wear,0.017615588039966778
c00663960,Women Small Leather Goods,0.01312707911634166
c00665752,Women Small Leather Goods,0.37117862919772066
c00668654,Women Bags,0.1468742060181445
c00674332,Men Accessory,0.6694991452983863
c00674729,Women Accessory,0.015520724680061972
c00674729,Women Bags,0.13840002211155394
c00694656,Men Small Leather Goods,0.6717035164273091
c00711670,Men Shoes,0.4593235589900283
c00712402,Woman Shoes,0.3059985258582579
c00720013,Women Bags,0.1468742060181445
c00748416,Men Shoes,0.4593235589900283
c00752162,Child,0.5446855476316248
c00759628,Men Ready-to-Wear,0.1548559111418744
c00759628,Women Accessory,0.1450791681668095
c00767985,Women Bags,0.1468742060181445
c00775929,Men Ready-to-Wear,0.004152393945827325
c00775929,Women Accessory,0.003904077521768883
c00775929,Women Bags,0.1429282800350389
c00782002,Men Ready-to-Wear,0.24858242279337311
c00782002,Women Accessory,0.07007334754534275
c00809905,Men Ready-to-Wear,0.3361453661856409
c00813674,Women Small Leather Goods,0.37117862919772066
c00818935,House,0.012098057180824122
