client_id,gross_amount_euro,avg_gross_amount_euro
c00029531,0.02368352563546456,2227.0
c00055636,0.015246811833087532,1449.0
c00068475,0.018592218270148345,1757.5
c00089184,0.06635507937884966,6162.0
c00091299,0.00470634163268847,477.0
c00107911,0.0326531497477971,3054.1428571428573
c00108395,0.07312613863104016,6786.4
c00115682,0.0051726381538995374,520.0
c00116652,0.005519649518521733,552.0
c00120284,0.057332783898672676,5330.0
c00120293,0.038702611260518785,3612.0
c00135296,0.05136852606922877,4780.0
c00137987,0.03929903704346317,3667.0
c00154867,0.022561160753014658,2123.5
c00155793,0.03959182788236315,3694.0
c00156195,0.010144660362626874,978.5
c00157768,0.01190682744859894,1141.0
c00172159,0.021968607864764716,2068.8571428571427
c00177390,0.06832870651513837,6344.0
c00179477,0.07673831005465429,7119.5
c00180939,0.014910644573609785,1418.0
c00183214,0.027980889588419735,2623.285714285714
c00183529,0.024160666261820073,2271.0
c00191049,0.008545154853821462,831.0
c00193391,0.060586015442005724,5630.0
c00211463,0.09505942569619157,8809.0
c00214291,0.02420404268239785,2275.0
c00217825,0.026459616552442094,2483.0
c00225661,0.06505740146323125,6042.333333333333
c00291796,0.01876572395245944,1773.5
c00294554,0.05067269598912697,4715.833333333333
c00295548,0.09536306064023596,8837.0
c00295904,0.003199011017610826,338.0
c00298646,0.04131604060032966,3853.0
c00299242,0.033817341892946995,3161.5
c00300712,0.015989633035481912,1517.5
c00313535,0.07112648564240479,6602.0
c00315408,0.011317631069084181,1086.6666666666667
c00323505,0.04036175934761863,3765.0
c00333959,0.004261733321766286,436.0
c00334249,0.08622148000347012,7994.0
c00334817,0.018185564327231715,1720.0
c00336613,0.016385442873254098,1554.0
c00337040,0.030533385385038022,2858.6666666666665
c00356265,0.042725774269107314,3983.0
c00357506,0.021710732661110035,2045.076923076923
c00382956,0.035232497614296865,3292.0
c00390903,0.03979786588010757,3713.0
c00393920,0.0397349700702698,3707.2
c00401687,0.009835603366010234,950.0
c00410670,0.02262893641016743,2129.75
c00412009,0.005286501257916195,530.5
c00422479,0.014303374685520948,1362.0
c00423786,0.07533399843844886,6990.0
c00424072,0.02529929730198664,2376.0
c00438848,0.0406274399236575,3789.5
c00444499,0.010854949249587924,1044.0
c00445484,0.059111217142361415,5494.0
c00449475,0.00605101067059946,601.0
c00452979,0.0031881669124663803,337.0
c00465784,0.03136115207773055,2935.0
c00467401,0.020972499349353694,1977.0
c00473035,0.00878372516699922,853.0
c00503813,0.15511407998611954,14347.0
c00509838,0.043460075103173915,4050.714285714286
c00516761,0.008480090222954803,825.0
c00518945,0.007710158757699314,754.0
c00523572,0.014400971631820941,1371.0
c00532485,0.05126783080717322,4770.714285714285
c00535214,0.031321390358867586,2931.3333333333335
c00553254,0.027290275006506458,2559.6
c00560010,0.04828880020820682,4496.0
c00571575,0.07741606662618201,7182.0
c00578452,0.03396102628611087,3174.75
c00587377,0.010518781990110174,1013.0
c00587582,0.024637806888175587,2315.0
c00596864,0.014021427951765418,1336.0
c00598175,0.01168994534571007,1121.0
c00599772,0.008805413377288107,855.0
c00606043,0.061135450102657536,5680.666666666667
c00616301,0.04884780060388441,4547.548780487805
c00636383,0.0037845926954107735,392.0
c00638804,0.11447037390474539,10599.0
c00648131,0.08991389780515313,8334.5
c00648948,0.05744664700268934,5340.5
c00649722,0.04179968768977184,3897.6
c00663131,0.0647935282380498,6018.0
c00663960,0.015876854341979697,1507.1
c00665752,0.029376680836297388,2752.0
c00668654,0.05181313438015095,4821.0
c00674332,0.008718660536132558,847.0
c00674729,0.04511147740088488,4203.0
c00694656,0.015886614036609698,1508.0
c00711670,0.04333304415719615,4039.0
c00712402,0.016417975188687428,1557.0
c00720013,0.012394812180098897,1186.0
c00748416,0.004543680055521816,462.0
c00752162,0.005118417628177322,515.0
c00759628,0.024838422833347792,2333.5
c00767985,0.06612735317081635,6141.0
c00775929,0.21373008299355137,19752.333333333332
c00782002,0.01012839420491021,977.0
c00809905,0.00941268326537694,911.0
c00813674,0.05121670859720656,4766.0
c00818935,0.033785110802656566,3158.527777777778
c00822467,0.014075648477487638,1341.0
c00826618,0.0012579161967554426,159.0
c00827581,0.00302550533529973,322.0
c00829903,0.032694977010497096,3058.0
c00832225,0.013674416587143226,1304.0
c00833036,0.02256658280558688,2124.0
c00835719,0.0082306758046326,802.0
c00835791,0.017556606228853994,1662.0
c00841936,0.03700008675284115,3455.0
c00844049,0.017740956016309536,1679.0
c00853374,0.008599375379543679,836.0
c00854996,0.02966947167519736,2779.0
c00858787,0.09837772187039126,9115.0
c00858790,0.004511147740088488,459.0
c00859350,0.009304242213932506,901.0
c00863537,0.0018543419796998356,214.0
c00867778,0.008653595905265897,841.0
c00869529,0.018391602324976143,1739.0
c00874691,0.011982736184610045,1148.0
c00877092,0.02862843758133079,2683.0
c00877979,0.05130888349093433,4774.5
c00890618,0.06538995402099419,6073.0
c00893802,0.010041641363754662,969.0
