client_id,transaction_count,frequency_score
c81328703,394,1.0
c93212715,337,0.8549618320610687
c15284276,241,0.6106870229007634
c27492922,186,0.470737913486005
c25819964,185,0.4681933842239186
c75296385,185,0.4681933842239186
c39128692,174,0.4402035623409669
c16953597,167,0.4223918575063613
c20977311,156,0.39440203562340964
c10981600,156,0.39440203562340964
c59543932,145,0.36641221374045807
c92762825,137,0.34605597964376594
c03818049,124,0.31297709923664124
c95187315,123,0.3104325699745547
c92835485,122,0.3078880407124682
c55911932,119,0.30025445292620867
c67459549,118,0.29770992366412213
c75205066,115,0.2900763358778626
c20659258,114,0.2875318066157761
c91020804,113,0.2849872773536896
c11196046,112,0.2824427480916031
c24883208,110,0.27735368956743006
c64651307,110,0.27735368956743006
c35192897,110,0.27735368956743006
c15474503,107,0.2697201017811705
c48728989,107,0.2697201017811705
c72973194,105,0.2646310432569975
c81837337,103,0.25954198473282447
c38699046,99,0.24936386768447838
c74224521,99,0.24936386768447838
c35431788,99,0.24936386768447838
c04811878,98,0.2468193384223919
c70788590,97,0.2442748091603054
c43820247,97,0.2442748091603054
c21421786,94,0.2366412213740458
c98928009,94,0.2366412213740458
c85530372,94,0.2366412213740458
c77724581,94,0.2366412213740458
c71534300,93,0.2340966921119593
c61575131,93,0.2340966921119593
c19141357,92,0.2315521628498728
c31536924,92,0.2315521628498728
c44197211,91,0.22900763358778625
c73898545,90,0.22646310432569974
c54934148,90,0.22646310432569974
c72957562,87,0.21882951653944022
c15700954,85,0.21374045801526717
c62135659,84,0.21119592875318066
c30953919,84,0.21119592875318066
c38044132,84,0.21119592875318066
c95443606,84,0.21119592875318066
c60615235,82,0.20610687022900762
c00616301,82,0.20610687022900762
c57241445,81,0.20356234096692113
c89925675,81,0.20356234096692113
c84065187,81,0.20356234096692113
c40043935,81,0.20356234096692113
c10459705,80,0.20101781170483463
c48498762,79,0.1984732824427481
c14466669,79,0.1984732824427481
c70292162,78,0.19592875318066158
c66229727,77,0.19338422391857507
c65522546,76,0.19083969465648856
c04760465,75,0.18829516539440203
c20015607,74,0.18575063613231552
c20112966,73,0.18320610687022904
c46593188,73,0.18320610687022904
c47765792,73,0.18320610687022904
c16915350,72,0.1806615776081425
c08644510,72,0.1806615776081425
c31425566,70,0.17557251908396945
c95009188,70,0.17557251908396945
c60184252,70,0.17557251908396945
c14900851,70,0.17557251908396945
c61118900,68,0.17048346055979643
c89641597,68,0.17048346055979643
c30859397,67,0.1679389312977099
c55529450,67,0.1679389312977099
c16847842,67,0.1679389312977099
c73857416,67,0.1679389312977099
c40338603,66,0.16539440203562342
c53671607,66,0.16539440203562342
c12879105,66,0.16539440203562342
c76020687,66,0.16539440203562342
c12687848,66,0.16539440203562342
c37472069,65,0.16284987277353688
c71659786,65,0.16284987277353688
c77222757,65,0.16284987277353688
c62662510,65,0.16284987277353688
c84321946,65,0.16284987277353688
c46647242,64,0.16030534351145037
c48428329,64,0.16030534351145037
c16901050,63,0.15776081424936383
c09358802,62,0.15521628498727735
c16170326,62,0.15521628498727735
c35555216,61,0.15267175572519084
c51410369,61,0.15267175572519084
c29021975,61,0.15267175572519084
c87954696,61,0.15267175572519084
c88949322,61,0.15267175572519084
c63177766,61,0.15267175572519084
c13609785,60,0.1501272264631043
c78301909,60,0.1501272264631043
c30725145,60,0.1501272264631043
c64944718,60,0.1501272264631043
c81014329,60,0.1501272264631043
c52140966,59,0.1475826972010178
c78548971,59,0.1475826972010178
c52680565,59,0.1475826972010178
c15690318,59,0.1475826972010178
c49394344,59,0.1475826972010178
c60564220,58,0.1450381679389313
c40053040,58,0.1450381679389313
c04751026,58,0.1450381679389313
c02866010,58,0.1450381679389313
c23178773,58,0.1450381679389313
c98829320,57,0.14249363867684478
c79515497,57,0.14249363867684478
c46237940,57,0.14249363867684478
c92517332,56,0.13994910941475824
c29298940,56,0.13994910941475824
c22121281,56,0.13994910941475824
c52594314,55,0.13740458015267173
c49821315,55,0.13740458015267173
c55637984,54,0.13486005089058525
c85072852,54,0.13486005089058525
c81447766,54,0.13486005089058525
c06008109,54,0.13486005089058525
c16857222,54,0.13486005089058525
c68368828,54,0.13486005089058525
c56599167,54,0.13486005089058525
c44511172,54,0.13486005089058525
c38031613,53,0.13231552162849872
c56424627,53,0.13231552162849872
c25047089,53,0.13231552162849872
c13965143,53,0.13231552162849872
c06855463,53,0.13231552162849872
c51198046,53,0.13231552162849872
c43443919,53,0.13231552162849872
c40129330,52,0.1297709923664122
c37216129,52,0.1297709923664122
c19398318,52,0.1297709923664122
c57055393,52,0.1297709923664122
c14536507,52,0.1297709923664122
c52234303,52,0.1297709923664122
c90190242,52,0.1297709923664122
c51244531,52,0.1297709923664122
c23669699,52,0.1297709923664122
c23065459,52,0.1297709923664122
c17808448,52,0.1297709923664122
c55193607,51,0.12722646310432567
c67629068,51,0.12722646310432567
c56564622,51,0.12722646310432567
c44700002,51,0.12722646310432567
c53677522,51,0.12722646310432567
c82574852,51,0.12722646310432567
c35994685,51,0.12722646310432567
c17752846,51,0.12722646310432567
c79857760,50,0.12468193384223919
c13753425,50,0.12468193384223919
c32765056,50,0.12468193384223919
c99827925,50,0.12468193384223919
c89261464,50,0.12468193384223919
c88709740,50,0.12468193384223919
c03981438,50,0.12468193384223919
c79606753,50,0.12468193384223919
c32113647,50,0.12468193384223919
c60027058,49,0.12213740458015267
c26615171,49,0.12213740458015267
c08223211,49,0.12213740458015267
c70119140,49,0.12213740458015267
c52702394,49,0.12213740458015267
c44943375,48,0.11959287531806614
c62609612,48,0.11959287531806614
c17869887,48,0.11959287531806614
c42786363,48,0.11959287531806614
c02328119,48,0.11959287531806614
c33421439,48,0.11959287531806614
c31589439,47,0.11704834605597965
c28869049,47,0.11704834605597965
c62011115,47,0.11704834605597965
c42214090,47,0.11704834605597965
c18695149,46,0.11450381679389311
c68852940,46,0.11450381679389311
c70730514,46,0.11450381679389311
c07733347,46,0.11450381679389311
c58859911,46,0.11450381679389311
c75599327,46,0.11450381679389311
c19031676,46,0.11450381679389311
c78359920,45,0.1119592875318066
c28886184,45,0.1119592875318066
c11793460,45,0.1119592875318066
c70165324,45,0.1119592875318066
c00649722,45,0.1119592875318066
c27752496,45,0.1119592875318066
c59836959,44,0.1094147582697201
c91350550,44,0.1094147582697201
c61759958,44,0.1094147582697201
c14197964,44,0.1094147582697201
c53662867,44,0.1094147582697201
c79251500,44,0.1094147582697201
c17376286,44,0.1094147582697201
c32690446,44,0.1094147582697201
c56744340,44,0.1094147582697201
c98657306,43,0.10687022900763359
c14640642,43,0.10687022900763359
c29426701,43,0.10687022900763359
c13797624,43,0.10687022900763359
c43247363,43,0.10687022900763359
c25700965,43,0.10687022900763359
c29183148,43,0.10687022900763359
c05463877,43,0.10687022900763359
c22012237,43,0.10687022900763359
c33590598,42,0.10432569974554706
c60224704,42,0.10432569974554706
c36358453,42,0.10432569974554706
c62913363,42,0.10432569974554706
c61024407,42,0.10432569974554706
c91697515,42,0.10432569974554706
c37343237,41,0.10178117048346055
c98033170,41,0.10178117048346055
c85951236,41,0.10178117048346055
c86787153,41,0.10178117048346055
c60025989,41,0.10178117048346055
c31351608,41,0.10178117048346055
c63750570,41,0.10178117048346055
c09732132,41,0.10178117048346055
c80909999,41,0.10178117048346055
c25831037,41,0.10178117048346055
c35314446,41,0.10178117048346055
c82717653,40,0.09923664122137403
c60426778,40,0.09923664122137403
c86467594,40,0.09923664122137403
c47755082,40,0.09923664122137403
c46994176,40,0.09923664122137403
c13615398,40,0.09923664122137403
c18970496,40,0.09923664122137403
c64848896,39,0.09669211195928752
c88394053,39,0.09669211195928752
c30569828,39,0.09669211195928752
c13025028,39,0.09669211195928752
c48647661,39,0.09669211195928752
c29569253,39,0.09669211195928752
c77381657,39,0.09669211195928752
c97154109,38,0.09414758269720101
c89593218,38,0.09414758269720101
c75442494,38,0.09414758269720101
c38837011,38,0.09414758269720101
c44936936,38,0.09414758269720101
c75514154,38,0.09414758269720101
c14289541,38,0.09414758269720101
c19239170,38,0.09414758269720101
c75085545,38,0.09414758269720101
c53748708,37,0.0916030534351145
c02187955,37,0.0916030534351145
c42808837,37,0.0916030534351145
c49616969,37,0.0916030534351145
c57605356,37,0.0916030534351145
c02650788,37,0.0916030534351145
c85718401,37,0.0916030534351145
c89139006,37,0.0916030534351145
c93999861,37,0.0916030534351145
c58816205,37,0.0916030534351145
c34824778,37,0.0916030534351145
c01901558,37,0.0916030534351145
c28404947,36,0.08905852417302798
c62548222,36,0.08905852417302798
c46740644,36,0.08905852417302798
c54519889,36,0.08905852417302798
c58246624,36,0.08905852417302798
c07646268,36,0.08905852417302798
c00818935,36,0.08905852417302798
c36784244,36,0.08905852417302798
c79747130,36,0.08905852417302798
c14937742,36,0.08905852417302798
c44833741,36,0.08905852417302798
c16525143,36,0.08905852417302798
c74181080,36,0.08905852417302798
c54751460,36,0.08905852417302798
c42464901,36,0.08905852417302798
c16158959,36,0.08905852417302798
c34341339,35,0.08651399491094147
c39765311,35,0.08651399491094147
c77065736,35,0.08651399491094147
c59230286,35,0.08651399491094147
c12333126,35,0.08651399491094147
c34457374,35,0.08651399491094147
c79565718,35,0.08651399491094147
c32328441,35,0.08651399491094147
c25635348,35,0.08651399491094147
c06489105,35,0.08651399491094147
c94982599,35,0.08651399491094147
c53305968,35,0.08651399491094147
c08494324,35,0.08651399491094147
c40630686,34,0.08396946564885495
c72984199,34,0.08396946564885495
c58240749,34,0.08396946564885495
c55789769,34,0.08396946564885495
c43018294,34,0.08396946564885495
c65796389,34,0.08396946564885495
c07305936,34,0.08396946564885495
c62681751,34,0.08396946564885495
c46331053,34,0.08396946564885495
c22371504,34,0.08396946564885495
c60385463,34,0.08396946564885495
c96942292,34,0.08396946564885495
c78507916,34,0.08396946564885495
c13632943,34,0.08396946564885495
c67325561,34,0.08396946564885495
c57764507,34,0.08396946564885495
c50460855,34,0.08396946564885495
c04355465,34,0.08396946564885495
c94363712,34,0.08396946564885495
c91828609,34,0.08396946564885495
c40764050,34,0.08396946564885495
c25364926,33,0.08142493638676844
c19715165,33,0.08142493638676844
c40035787,33,0.08142493638676844
c13142039,33,0.08142493638676844
c14841334,33,0.08142493638676844
c94392898,33,0.08142493638676844
c14967460,33,0.08142493638676844
c67885575,33,0.08142493638676844
